时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:37:16:354	HC-06(556C659059FE)	-0.008	0.003	0.992	-0.977	0.000	-16.235	0.54	-0.20	-19.86	33.7	18258	30
2024-10-9 17:37:16:355	HC-06(556C659059FE)	0.000	0.012	1.004	0.732	-0.183	-16.052	0.54	-0.20	-20.02	33.6	18258	30
2024-10-9 17:37:16:383	HC-06(556C659059FE)	-0.000	0.004	0.994	-0.244	-0.061	-16.235	0.54	-0.20	-20.18	33.7	18258	30
2024-10-9 17:37:16:384	HC-06(556C659059FE)	0.000	0.008	0.999	0.549	-0.122	-16.418	0.55	-0.20	-20.35	33.8	18258	30
2024-10-9 17:37:16:414	HC-06(556C659059FE)	0.013	0.011	1.002	-0.305	-0.122	-16.724	0.55	-0.20	-20.51	33.8	18258	30
2024-10-9 17:37:16:415	HC-06(556C659059FE)	-0.010	0.002	0.997	0.488	-0.183	-16.113	0.55	-0.20	-20.68	33.7	18258	30
2024-10-9 17:37:16:442	HC-06(556C659059FE)	0.008	0.015	1.001	-0.427	-0.122	-16.174	0.55	-0.20	-20.84	33.7	18258	30
2024-10-9 17:37:16:446	HC-06(556C659059FE)	0.000	0.003	0.990	0.977	-0.305	-16.724	0.55	-0.20	-21.01	33.6	18258	30
2024-10-9 17:37:16:446	HC-06(556C659059FE)	0.003	0.014	1.002	-0.671	0.000	-16.785	0.55	-0.20	-21.17	33.6	18258	30
2024-10-9 17:37:16:447	HC-06(556C659059FE)	-0.002	0.003	0.997	0.610	-0.244	-16.846	0.55	-0.20	-21.34	33.6	18258	30
2024-10-9 17:37:16:474	HC-06(556C659059FE)	0.014	0.008	1.000	-0.854	-0.061	-17.212	0.55	-0.20	-21.51	33.8	18258	30
2024-10-9 17:37:16:474	HC-06(556C659059FE)	-0.021	0.008	0.997	1.038	-0.183	-17.090	0.55	-0.20	-21.68	33.7	18258	30
2024-10-9 17:37:16:475	HC-06(556C659059FE)	0.010	0.008	0.995	-0.793	0.000	-18.005	0.55	-0.20	-21.86	33.7	18258	30
2024-10-9 17:37:16:475	HC-06(556C659059FE)	0.021	0.011	1.005	1.160	-0.305	-18.799	0.56	-0.20	-22.04	33.7	18258	30
2024-10-9 17:37:16:476	HC-06(556C659059FE)	-0.004	0.013	1.001	-1.282	-0.244	-18.555	0.55	-0.19	-22.23	33.7	18258	30
2024-10-9 17:37:16:504	HC-06(556C659059FE)	-0.007	0.004	0.998	0.610	-0.305	-18.616	0.55	-0.19	-22.42	33.8	18258	30
2024-10-9 17:37:16:504	HC-06(556C659059FE)	0.006	0.006	0.996	-0.305	-0.183	-19.226	0.55	-0.19	-22.61	33.7	18258	30
2024-10-9 17:37:16:505	HC-06(556C659059FE)	0.015	0.005	0.997	0.549	-0.183	-19.226	0.56	-0.19	-22.80	33.7	18258	30
2024-10-9 17:37:16:533	HC-06(556C659059FE)	0.022	0.012	1.002	-0.244	-0.183	-18.311	0.56	-0.19	-22.99	33.7	18258	30
2024-10-9 17:37:16:534	HC-06(556C659059FE)	-0.008	0.002	0.989	0.244	-0.183	-17.273	0.56	-0.19	-23.16	33.6	18258	30
2024-10-9 17:37:16:536	HC-06(556C659059FE)	0.005	0.020	1.006	-0.122	0.000	-17.090	0.56	-0.19	-23.33	33.7	18258	30
2024-10-9 17:37:16:624	HC-06(556C659059FE)	0.009	0.001	0.992	0.427	-0.305	-17.334	0.56	-0.19	-23.51	33.7	18258	30
2024-10-9 17:37:16:626	HC-06(556C659059FE)	-0.001	0.012	1.005	-0.427	-0.122	-16.479	0.56	-0.19	-23.67	33.7	18258	30
2024-10-9 17:37:16:653	HC-06(556C659059FE)	-0.019	0.001	0.988	0.366	-0.183	-16.602	0.56	-0.19	-23.84	33.7	18258	30
2024-10-9 17:37:16:654	HC-06(556C659059FE)	0.011	0.014	1.002	0.000	-0.122	-17.273	0.57	-0.19	-24.01	33.7	18258	30
2024-10-9 17:37:16:655	HC-06(556C659059FE)	0.018	-0.000	0.991	0.549	-0.244	-17.761	0.57	-0.19	-24.19	33.7	18258	30
2024-10-9 17:37:16:655	HC-06(556C659059FE)	0.021	0.020	1.010	-0.305	-0.122	-16.968	0.57	-0.19	-24.36	33.6	18258	30
2024-10-9 17:37:16:713	HC-06(556C659059FE)	-0.012	0.000	0.993	0.366	-0.244	-15.869	0.57	-0.19	-24.52	33.5	18258	30
