时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:50:51:985	HC-06(00:0C:BF:0B:72:49)	0.112	-0.586	1.292	-27.832	22.827	32.471	-22.69	-9.15	76.01	35.8	18258	0
2024-10-13 9:50:51:987	HC-06(00:0C:BF:0B:72:49)	0.109	-0.607	1.269	-24.170	18.494	33.752	-22.97	-8.82	76.25	35.8	18258	0
2024-10-13 9:50:51:989	HC-06(00:0C:BF:0B:72:49)	0.112	-0.626	1.230	-18.982	12.268	29.114	-23.20	-8.57	76.48	35.7	18258	0
2024-10-13 9:50:52:5	HC-06(00:0C:BF:0B:72:49)	0.120	-0.625	1.188	-12.390	5.615	20.142	-23.36	-8.40	76.66	35.8	18258	0
2024-10-13 9:50:52:7	HC-06(00:0C:BF:0B:72:49)	0.128	-0.607	1.151	-6.226	-0.366	9.399	-23.45	-8.33	76.77	35.8	18258	0
2024-10-13 9:50:52:27	HC-06(00:0C:BF:0B:72:49)	0.132	-0.586	1.122	-2.014	-3.235	0.977	-23.48	-8.34	76.81	35.7	18258	0
2024-10-13 9:50:52:29	HC-06(00:0C:BF:0B:72:49)	0.146	-0.559	1.096	-0.183	-3.784	-2.808	-23.49	-8.37	76.80	35.7	18258	0
2024-10-13 9:50:52:47	HC-06(00:0C:BF:0B:72:49)	0.137	-0.535	1.083	-0.244	-1.038	-1.221	-23.49	-8.39	76.79	35.9	18258	0
2024-10-13 9:50:52:53	HC-06(00:0C:BF:0B:72:49)	0.111	-0.527	1.077	-1.465	4.761	4.578	-23.51	-8.33	76.81	35.8	18258	0
2024-10-13 9:50:52:81	HC-06(00:0C:BF:0B:72:49)	0.083	-0.538	1.086	-3.113	11.414	12.634	-23.54	-8.19	76.86	35.8	18258	0
2024-10-13 9:50:52:83	HC-06(00:0C:BF:0B:72:49)	0.042	-0.554	1.107	-4.028	16.724	21.729	-23.60	-7.96	76.98	35.8	18258	0
2024-10-13 9:50:52:87	HC-06(00:0C:BF:0B:72:49)	0.011	-0.574	1.132	-3.845	17.639	29.541	-23.68	-7.68	77.16	35.9	18258	0
2024-10-13 9:50:52:88	HC-06(00:0C:BF:0B:72:49)	-0.014	-0.595	1.158	-2.930	14.648	33.264	-23.75	-7.39	77.40	35.8	18258	0
2024-10-13 9:50:52:106	HC-06(00:0C:BF:0B:72:49)	-0.025	-0.613	1.169	-1.465	8.911	32.654	-23.81	-7.15	77.66	35.8	18258	0
