时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 10:1:14:232	HC-06(556C659059FE)	0.038	-0.056	0.883	2.441	-7.202	-15.625	2.54	-6.07	113.36	28.5	18258	100
2024-10-13 10:1:14:233	HC-06(556C659059FE)	0.035	-0.047	0.872	-4.883	2.075	-15.320	2.49	-6.05	113.21	28.6	18258	100
2024-10-13 10:1:14:254	HC-06(556C659059FE)	0.024	-0.045	0.836	-10.498	10.559	-15.137	2.38	-5.93	113.07	28.6	18258	100
2024-10-13 10:1:14:255	HC-06(556C659059FE)	-0.006	-0.047	0.801	-13.977	15.564	-16.052	2.22	-5.76	112.91	28.6	18258	100
2024-10-13 10:1:14:256	HC-06(556C659059FE)	-0.033	-0.069	0.779	-15.442	17.090	-17.822	2.06	-5.56	112.75	28.5	18258	100
2024-10-13 10:1:14:318	HC-06(556C659059FE)	-0.042	-0.099	0.771	-14.893	15.808	-18.799	1.89	-5.37	112.57	28.5	18258	100
2024-10-13 10:1:14:319	HC-06(556C659059FE)	-0.030	-0.135	0.780	-13.062	13.977	-18.188	1.74	-5.20	112.38	28.6	18258	100
2024-10-13 10:1:14:319	HC-06(556C659059FE)	-0.007	-0.156	0.790	-10.559	12.939	-16.479	1.60	-5.04	112.23	28.6	18258	100
2024-10-13 10:1:14:321	HC-06(556C659059FE)	0.015	-0.163	0.796	-8.728	11.902	-15.137	1.48	-4.89	112.07	28.6	18258	100
2024-10-13 10:1:14:321	HC-06(556C659059FE)	0.025	-0.154	0.805	-9.155	12.634	-14.282	1.36	-4.74	111.93	28.6	18258	100
2024-10-13 10:1:14:335	HC-06(556C659059FE)	0.025	-0.145	0.815	-12.268	15.076	-13.489	1.21	-4.57	111.80	28.6	18258	100
2024-10-13 10:1:14:349	HC-06(556C659059FE)	0.000	-0.156	0.825	-13.306	19.226	-12.329	1.04	-4.37	111.68	28.6	18258	100
2024-10-13 10:1:14:350	HC-06(556C659059FE)	-0.007	-0.160	0.832	-14.160	16.846	-10.559	0.86	-4.17	111.57	28.5	18258	100
2024-10-13 10:1:14:350	HC-06(556C659059FE)	0.006	-0.178	0.867	-10.620	12.573	-8.667	0.70	-4.01	111.48	28.7	18258	100
2024-10-13 10:1:14:351	HC-06(556C659059FE)	0.010	-0.180	0.924	-3.418	6.287	-5.310	0.60	-3.91	111.42	28.4	18258	100
2024-10-13 10:1:14:352	HC-06(556C659059FE)	-0.001	-0.188	0.989	3.174	2.075	-1.648	0.57	-3.86	111.40	28.7	18258	100
2024-10-13 10:1:14:352	HC-06(556C659059FE)	0.005	-0.195	1.040	7.751	-0.488	2.075	0.58	-3.85	111.41	28.6	18258	100
2024-10-13 10:1:14:413	HC-06(556C659059FE)	0.022	-0.189	1.083	9.277	-1.648	5.554	0.61	-3.84	111.46	28.6	18258	100
2024-10-13 10:1:14:414	HC-06(556C659059FE)	0.078	-0.152	1.138	5.981	-0.122	7.385	0.62	-3.83	111.53	28.4	18258	100
2024-10-13 10:1:14:414	HC-06(556C659059FE)	0.175	-0.093	1.197	-9.827	8.789	6.409	0.51	-3.75	111.60	28.6	18258	100
2024-10-13 10:1:14:430	HC-06(556C659059FE)	0.219	-0.029	1.228	-29.846	29.541	3.723	0.21	-3.50	111.65	28.6	18258	100
2024-10-13 10:1:14:431	HC-06(556C659059FE)	0.208	0.055	1.197	-45.532	50.903	0.427	-0.24	-3.03	111.66	28.6	18258	100
2024-10-13 10:1:14:431	HC-06(556C659059FE)	0.164	0.073	1.113	-53.528	59.082	-3.601	-0.80	-2.46	111.63	28.6	18258	100
2024-10-13 10:1:14:437	HC-06(556C659059FE)	0.173	0.079	1.038	-54.138	53.528	-6.104	-1.36	-1.92	111.56	28.6	18258	100
2024-10-13 10:1:14:465	HC-06(556C659059FE)	0.176	0.075	1.002	-47.241	40.161	-5.920	-1.87	-1.50	111.48	28.6	18258	100
2024-10-13 10:1:14:466	HC-06(556C659059FE)	0.228	0.129	0.972	-30.457	24.658	-3.723	-2.21	-1.24	111.43	28.6	18258	100
2024-10-13 10:1:14:497	HC-06(556C659059FE)	0.272	0.191	0.964	-19.592	9.399	-3.235	-2.43	-1.14	111.39	28.5	18258	100
