时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:57:57:520	HC-06(556C659059FE)	0.001	0.001	0.999	0.061	0.000	0.000	0.28	0.52	-103.62	26.5	18258	100
2024-10-13 9:57:57:520	HC-06(556C659059FE)	0.000	0.002	0.999	0.061	0.000	0.000	0.28	0.52	-103.62	26.7	18258	100
2024-10-13 9:57:57:546	HC-06(556C659059FE)	0.000	0.001	0.999	0.000	0.000	0.000	0.28	0.51	-103.61	26.5	18258	100
2024-10-13 9:57:57:547	HC-06(556C659059FE)	0.000	0.000	0.999	0.000	0.000	0.000	0.28	0.51	-103.61	26.6	18258	100
2024-10-13 9:57:57:547	HC-06(556C659059FE)	0.000	0.001	0.998	0.000	0.000	0.000	0.27	0.51	-103.61	26.6	18258	100
2024-10-13 9:57:57:549	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.000	0.000	0.27	0.50	-103.60	26.5	18258	100
2024-10-13 9:57:57:577	HC-06(556C659059FE)	0.000	0.002	0.999	0.000	0.000	0.000	0.27	0.50	-103.60	26.5	18258	100
2024-10-13 9:57:57:578	HC-06(556C659059FE)	0.000	0.002	0.998	0.000	0.061	0.000	0.27	0.49	-103.60	26.7	18258	100
2024-10-13 9:57:57:579	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.061	0.000	0.27	0.49	-103.59	26.4	18258	100
2024-10-13 9:57:57:580	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.000	0.000	0.27	0.49	-103.58	26.6	18258	100
2024-10-13 9:57:57:581	HC-06(556C659059FE)	0.000	0.000	0.998	0.000	0.000	0.000	0.27	0.49	-103.58	26.6	18258	100
2024-10-13 9:57:57:608	HC-06(556C659059FE)	-0.000	0.001	0.998	0.061	0.000	0.000	0.27	0.48	-103.58	26.6	18258	100
2024-10-13 9:57:57:609	HC-06(556C659059FE)	0.001	0.000	1.000	0.061	0.000	0.000	0.27	0.48	-103.57	26.5	18258	100
2024-10-13 9:57:57:609	HC-06(556C659059FE)	0.001	0.001	1.000	0.061	0.000	0.000	0.27	0.48	-103.57	26.6	18258	100
2024-10-13 9:57:57:637	HC-06(556C659059FE)	0.000	0.002	1.000	0.061	0.000	0.000	0.27	0.47	-103.57	26.6	18258	100
2024-10-13 9:57:57:638	HC-06(556C659059FE)	0.000	0.002	0.999	0.000	0.000	0.000	0.27	0.47	-103.56	26.4	18258	100
2024-10-13 9:57:57:638	HC-06(556C659059FE)	-0.000	0.002	0.999	0.122	0.000	0.000	0.27	0.47	-103.56	26.6	18258	100
2024-10-13 9:57:57:697	HC-06(556C659059FE)	0.000	0.001	1.000	0.061	0.000	0.000	0.26	0.47	-103.56	26.6	18258	100
2024-10-13 9:57:57:727	HC-06(556C659059FE)	-0.000	0.001	1.000	0.000	0.000	0.000	0.26	0.46	-103.55	26.5	18258	100
2024-10-13 9:57:57:727	HC-06(556C659059FE)	-0.000	0.000	1.000	0.000	0.000	0.000	0.26	0.46	-103.55	26.5	18258	100
2024-10-13 9:57:57:728	HC-06(556C659059FE)	-0.000	0.000	0.999	0.000	0.000	0.000	0.26	0.46	-103.55	26.6	18258	100
2024-10-13 9:57:57:729	HC-06(556C659059FE)	0.000	0.000	0.998	0.061	0.000	0.000	0.26	0.46	-103.54	26.7	18258	100
2024-10-13 9:57:57:730	HC-06(556C659059FE)	0.000	0.001	0.999	0.000	0.000	0.000	0.26	0.45	-103.54	26.5	18258	100
2024-10-13 9:57:57:767	HC-06(556C659059FE)	0.001	0.002	0.999	0.000	0.000	0.000	0.26	0.45	-103.54	26.6	18258	100
2024-10-13 9:57:57:767	HC-06(556C659059FE)	0.000	0.002	0.999	0.000	0.000	0.000	0.26	0.44	-103.53	26.6	18258	100
2024-10-13 9:57:57:768	HC-06(556C659059FE)	0.000	0.002	0.999	0.000	0.000	0.000	0.26	0.44	-103.53	26.7	18258	100
2024-10-13 9:57:57:769	HC-06(556C659059FE)	-0.001	0.002	0.999	0.000	0.000	0.000	0.26	0.44	-103.52	26.6	18258	100
2024-10-13 9:57:57:788	HC-06(556C659059FE)	0.000	0.002	0.999	0.000	0.000	0.000	0.26	0.44	-103.52	26.4	18258	100
2024-10-13 9:57:57:789	HC-06(556C659059FE)	0.000	0.002	0.999	0.061	0.000	0.000	0.26	0.43	-103.52	26.6	18258	100
2024-10-13 9:57:57:823	HC-06(556C659059FE)	0.000	0.001	1.000	0.061	0.000	0.000	0.26	0.43	-103.51	26.7	18258	100
