时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:59:21:454	HC-06(556C659059FE)	0.106	-0.077	0.977	1.587	0.549	-0.427	-4.26	-7.09	-107.75	27.3	18258	100
2024-10-13 9:59:21:455	HC-06(556C659059FE)	0.099	-0.071	0.975	1.892	0.610	-0.305	-4.24	-7.08	-107.75	27.3	18258	100
2024-10-13 9:59:21:456	HC-06(556C659059FE)	0.103	-0.071	0.976	1.343	0.000	-0.061	-4.22	-7.08	-107.75	27.1	18258	100
2024-10-13 9:59:21:456	HC-06(556C659059FE)	0.102	-0.067	0.977	1.526	-0.610	0.000	-4.21	-7.09	-107.75	27.1	18258	100
2024-10-13 9:59:21:457	HC-06(556C659059FE)	0.105	-0.063	0.982	1.099	-1.343	0.122	-4.20	-7.09	-107.75	27.1	18258	100
2024-10-13 9:59:21:462	HC-06(556C659059FE)	0.114	-0.059	0.994	0.000	-2.014	0.244	-4.20	-7.11	-107.75	27.3	18258	100
2024-10-13 9:59:21:489	HC-06(556C659059FE)	0.115	-0.060	1.005	-1.892	-1.770	0.793	-4.21	-7.12	-107.74	27.2	18258	100
2024-10-13 9:59:21:490	HC-06(556C659059FE)	0.114	-0.068	1.018	-2.502	-0.549	1.282	-4.24	-7.13	-107.73	27.4	18258	100
2024-10-13 9:59:21:536	HC-06(556C659059FE)	0.112	-0.073	1.028	-1.709	0.122	1.465	-4.26	-7.13	-107.72	27.2	18258	100
2024-10-13 9:59:21:537	HC-06(556C659059FE)	0.111	-0.078	1.032	-0.427	-0.061	0.977	-4.27	-7.12	-107.70	27.3	18258	100
2024-10-13 9:59:21:537	HC-06(556C659059FE)	0.111	-0.080	1.026	1.648	-0.305	0.488	-4.26	-7.12	-107.70	27.3	18258	100
2024-10-13 9:59:21:538	HC-06(556C659059FE)	0.108	-0.075	1.015	3.662	0.000	0.061	-4.22	-7.12	-107.70	27.1	18258	100
2024-10-13 9:59:21:557	HC-06(556C659059FE)	0.107	-0.067	1.000	4.150	0.427	-0.244	-4.19	-7.11	-107.70	27.1	18258	100
2024-10-13 9:59:21:558	HC-06(556C659059FE)	0.107	-0.062	0.985	3.357	0.549	-0.610	-4.15	-7.10	-107.70	27.2	18258	100
2024-10-13 9:59:21:558	HC-06(556C659059FE)	0.107	-0.062	0.973	2.380	0.671	-0.732	-4.12	-7.10	-107.72	27.3	18258	100
2024-10-13 9:59:21:559	HC-06(556C659059FE)	0.104	-0.061	0.965	1.282	0.610	-0.671	-4.10	-7.09	-107.72	27.2	18258	100
2024-10-13 9:59:21:592	HC-06(556C659059FE)	0.105	-0.064	0.958	0.122	0.122	-0.549	-4.10	-7.08	-107.73	27.4	18258	100
2024-10-13 9:59:21:632	HC-06(556C659059FE)	0.110	-0.066	0.957	0.000	-0.488	-0.610	-4.10	-7.08	-107.73	27.4	18258	100
2024-10-13 9:59:21:633	HC-06(556C659059FE)	0.116	-0.065	0.957	-0.488	-1.465	-0.916	-4.10	-7.09	-107.74	27.3	18258	100
2024-10-13 9:59:21:633	HC-06(556C659059FE)	0.113	-0.066	0.965	-1.160	-1.221	-0.977	-4.11	-7.10	-107.75	27.4	18258	100
2024-10-13 9:59:21:634	HC-06(556C659059FE)	0.113	-0.068	0.974	-1.648	-0.671	-0.916	-4.12	-7.10	-107.75	27.3	18258	100
2024-10-13 9:59:21:674	HC-06(556C659059FE)	0.111	-0.066	0.981	-1.465	-0.916	-1.343	-4.13	-7.11	-107.77	27.3	18258	100
2024-10-13 9:59:21:675	HC-06(556C659059FE)	0.108	-0.065	0.988	-1.465	-1.526	-1.831	-4.15	-7.12	-107.79	27.2	18258	100
2024-10-13 9:59:21:676	HC-06(556C659059FE)	0.109	-0.066	0.994	-1.160	-2.075	-2.380	-4.15	-7.14	-107.81	27.1	18258	100
2024-10-13 9:59:21:676	HC-06(556C659059FE)	0.106	-0.063	0.993	-0.854	-2.075	-2.502	-4.16	-7.15	-107.83	27.3	18258	100
2024-10-13 9:59:21:707	HC-06(556C659059FE)	0.100	-0.061	0.995	-0.671	-1.587	-2.869	-4.16	-7.17	-107.86	27.3	18258	100
2024-10-13 9:59:21:708	HC-06(556C659059FE)	0.093	-0.058	0.997	-0.671	-1.404	-2.808	-4.16	-7.18	-107.89	27.3	18258	100
2024-10-13 9:59:21:708	HC-06(556C659059FE)	0.093	-0.056	0.998	-0.427	-1.709	-2.808	-4.16	-7.19	-107.91	27.3	18258	100
2024-10-13 9:59:21:709	HC-06(556C659059FE)	0.096	-0.052	0.999	-0.122	-2.197	-2.808	-4.16	-7.21	-107.94	27.2	18258	100
2024-10-13 9:59:21:710	HC-06(556C659059FE)	0.100	-0.048	0.996	0.000	-2.747	-3.296	-4.15	-7.23	-107.97	27.3	18258	100
2024-10-13 9:59:21:743	HC-06(556C659059FE)	0.096	-0.044	1.000	-0.366	-2.686	-3.540	-4.14	-7.25	-108.00	26.9	18258	100
2024-10-13 9:59:21:743	HC-06(556C659059FE)	0.105	-0.045	1.000	-1.099	-3.296	-3.845	-4.15	-7.28	-108.03	27.1	18258	100
2024-10-13 9:59:21:744	HC-06(556C659059FE)	0.114	-0.045	1.000	-0.793	-3.662	-4.456	-4.15	-7.31	-108.08	27.2	18258	100
2024-10-13 9:59:21:770	HC-06(556C659059FE)	0.112	-0.043	0.997	-0.122	-2.808	-5.127	-4.14	-7.34	-108.12	27.3	18258	100
2024-10-13 9:59:21:770	HC-06(556C659059FE)	0.119	-0.041	0.996	0.732	-2.625	-5.981	-4.12	-7.36	-108.18	27.2	18258	100
2024-10-13 9:59:21:770	HC-06(556C659059FE)	0.130	-0.036	0.991	1.221	-2.747	-6.714	-4.09	-7.38	-108.24	27.1	18258	100
2024-10-13 9:59:21:770	HC-06(556C659059FE)	0.134	-0.029	0.981	0.977	-2.075	-7.446	-4.06	-7.40	-108.31	27.4	18258	100
2024-10-13 9:59:21:789	HC-06(556C659059FE)	0.140	-0.029	0.971	0.977	-1.892	-8.667	-4.04	-7.42	-108.40	27.1	18258	100
2024-10-13 9:59:21:789	HC-06(556C659059FE)	0.145	-0.029	0.958	1.587	-1.892	-10.071	-4.00	-7.44	-108.50	27.1	18258	100
2024-10-13 9:59:21:819	HC-06(556C659059FE)	0.144	-0.021	0.944	1.221	-0.671	-11.353	-3.97	-7.45	-108.61	27.1	18258	100
2024-10-13 9:59:21:819	HC-06(556C659059FE)	0.137	-0.021	0.934	-0.854	0.916	-12.451	-3.95	-7.45	-108.73	27.4	18258	100
