时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:17:13:128	HC-06(00:0C:BF:08:48:06)	-0.020	0.017	1.006	-0.061	0.122	16.479	-0.51	-0.69	-151.40	33.4	18258	10
2024-10-9 17:17:13:143	HC-06(00:0C:BF:08:48:06)	0.027	0.007	1.010	-0.916	0.000	15.747	-0.51	-0.68	-151.24	33.3	18258	10
2024-10-9 17:17:13:146	HC-06(00:0C:BF:08:48:06)	0.032	-0.024	0.989	-0.244	0.427	15.991	-0.51	-0.68	-151.08	33.2	18258	10
2024-10-9 17:17:13:184	HC-06(00:0C:BF:08:48:06)	0.034	-0.031	0.987	0.000	-0.061	18.372	-0.51	-0.68	-150.90	33.1	18258	10
2024-10-9 17:17:13:187	HC-06(00:0C:BF:08:48:06)	0.001	-0.026	0.986	-0.305	-0.183	20.996	-0.51	-0.68	-150.70	33.1	18258	10
2024-10-9 17:17:13:190	HC-06(00:0C:BF:08:48:06)	-0.004	0.012	1.003	0.488	0.244	20.996	-0.51	-0.68	-150.49	33.2	18258	10
2024-10-9 17:17:13:191	HC-06(00:0C:BF:08:48:06)	-0.001	0.032	1.004	-0.610	-0.427	19.958	-0.51	-0.68	-150.28	33.2	18258	10
2024-10-9 17:17:13:203	HC-06(00:0C:BF:08:48:06)	0.014	0.024	1.005	-0.122	0.000	18.066	-0.51	-0.68	-150.10	33.2	18258	10
2024-10-9 17:17:13:205	HC-06(00:0C:BF:08:48:06)	-0.003	0.006	0.997	-0.366	0.000	17.273	-0.52	-0.67	-149.92	33.3	18258	10
2024-10-9 17:17:13:223	HC-06(00:0C:BF:08:48:06)	0.019	-0.011	1.000	-0.183	0.000	17.212	-0.51	-0.67	-149.75	33.2	18258	10
2024-10-9 17:17:13:227	HC-06(00:0C:BF:08:48:06)	0.012	-0.001	0.998	-0.183	0.000	17.517	-0.52	-0.66	-149.58	33.2	18258	10
2024-10-9 17:17:13:244	HC-06(00:0C:BF:08:48:06)	0.014	0.001	1.001	-0.244	-0.122	17.639	-0.52	-0.66	-149.40	33.3	18258	10
2024-10-9 17:17:13:245	HC-06(00:0C:BF:08:48:06)	-0.004	0.004	0.995	-0.305	0.061	17.883	-0.52	-0.66	-149.22	33.2	18258	10
2024-10-9 17:17:13:264	HC-06(00:0C:BF:08:48:06)	0.010	-0.010	1.000	0.000	0.000	17.517	-0.51	-0.66	-149.05	33.3	18258	10
2024-10-9 17:17:13:271	HC-06(00:0C:BF:08:48:06)	0.010	0.001	1.002	0.000	0.305	17.517	-0.51	-0.65	-148.88	33.2	18258	10
2024-10-9 17:17:13:283	HC-06(00:0C:BF:08:48:06)	0.015	0.014	0.995	0.000	0.366	16.785	-0.51	-0.65	-148.71	33.2	18258	10
2024-10-9 17:17:13:285	HC-06(00:0C:BF:08:48:06)	-0.001	0.004	0.996	-0.366	0.000	16.479	-0.51	-0.65	-148.54	33.2	18258	10
2024-10-9 17:17:13:305	HC-06(00:0C:BF:08:48:06)	0.020	-0.021	1.000	-0.427	0.000	16.663	-0.51	-0.65	-148.37	33.2	18258	10
2024-10-9 17:17:13:324	HC-06(00:0C:BF:08:48:06)	0.020	-0.019	0.989	-0.183	-0.061	18.066	-0.51	-0.65	-148.19	33.2	18258	10
2024-10-9 17:17:13:326	HC-06(00:0C:BF:08:48:06)	0.011	0.000	0.992	-0.427	-0.793	18.799	-0.52	-0.65	-148.01	33.3	18258	10
2024-10-9 17:17:13:329	HC-06(00:0C:BF:08:48:06)	-0.012	0.019	0.998	-0.061	-0.610	18.555	-0.52	-0.65	-147.82	33.2	18258	10
2024-10-9 17:17:13:342	HC-06(00:0C:BF:08:48:06)	0.004	0.004	1.012	-0.610	-0.488	16.602	-0.52	-0.66	-147.65	33.2	18258	10
2024-10-9 17:17:13:345	HC-06(00:0C:BF:08:48:06)	0.014	0.017	1.004	-0.366	0.000	16.663	-0.52	-0.66	-147.48	33.2	18258	10
2024-10-9 17:17:13:363	HC-06(00:0C:BF:08:48:06)	0.018	0.000	0.997	0.061	0.122	16.968	-0.52	-0.66	-147.32	33.3	18258	10
2024-10-9 17:17:13:371	HC-06(00:0C:BF:08:48:06)	-0.007	0.002	0.998	-0.427	-0.244	17.029	-0.52	-0.65	-147.15	33.1	18258	10
2024-10-9 17:17:13:385	HC-06(00:0C:BF:08:48:06)	0.014	-0.002	1.005	-0.183	0.000	16.174	-0.52	-0.65	-146.98	33.1	18258	10
2024-10-9 17:17:13:387	HC-06(00:0C:BF:08:48:06)	0.011	-0.013	0.999	-0.549	-0.183	17.029	-0.52	-0.65	-146.81	33.4	18258	10
2024-10-9 17:17:13:403	HC-06(00:0C:BF:08:48:06)	0.003	-0.009	0.993	0.000	0.000	17.456	-0.52	-0.65	-146.64	33.2	18258	10
2024-10-9 17:17:13:406	HC-06(00:0C:BF:08:48:06)	0.001	-0.002	1.002	-0.854	-0.488	18.677	-0.52	-0.65	-146.45	33.3	18258	10
2024-10-9 17:17:13:430	HC-06(00:0C:BF:08:48:06)	0.028	-0.024	1.000	0.488	1.038	19.531	-0.52	-0.64	-146.26	33.2	18258	10
2024-10-9 17:17:13:432	HC-06(00:0C:BF:08:48:06)	0.002	-0.014	0.994	-0.183	0.061	20.752	-0.52	-0.64	-146.06	33.2	18258	10
2024-10-9 17:17:13:444	HC-06(00:0C:BF:08:48:06)	0.011	0.031	0.999	-0.061	-0.183	20.203	-0.52	-0.64	-145.85	33.2	18258	10
2024-10-9 17:17:13:445	HC-06(00:0C:BF:08:48:06)	-0.005	0.039	0.997	-0.061	0.000	18.005	-0.52	-0.64	-145.67	33.2	18258	10
2024-10-9 17:17:13:463	HC-06(00:0C:BF:08:48:06)	0.017	-0.010	1.004	-0.732	-0.305	16.724	-0.52	-0.64	-145.50	33.1	18258	10
2024-10-9 17:17:13:471	HC-06(00:0C:BF:08:48:06)	0.015	-0.024	1.003	0.000	0.244	17.639	-0.52	-0.64	-145.32	33.3	18258	10
2024-10-9 17:17:13:484	HC-06(00:0C:BF:08:48:06)	0.027	0.011	0.992	0.183	0.305	18.311	-0.52	-0.63	-145.14	33.1	18258	10
2024-10-9 17:17:13:486	HC-06(00:0C:BF:08:48:06)	0.000	0.001	1.000	-0.305	0.244	18.616	-0.52	-0.63	-144.95	33.3	18258	10
2024-10-9 17:17:13:504	HC-06(00:0C:BF:08:48:06)	0.015	-0.008	0.995	-0.488	-0.122	18.433	-0.52	-0.62	-144.77	33.2	18258	10
2024-10-9 17:17:13:506	HC-06(00:0C:BF:08:48:06)	0.011	0.003	0.989	-0.122	0.000	18.982	-0.52	-0.62	-144.58	33.1	18258	10
2024-10-9 17:17:13:527	HC-06(00:0C:BF:08:48:06)	0.003	0.007	1.002	-0.183	-0.549	18.677	-0.52	-0.63	-144.39	33.2	18258	10
2024-10-9 17:17:13:529	HC-06(00:0C:BF:08:48:06)	-0.007	0.039	1.004	-0.122	-0.122	17.273	-0.52	-0.63	-144.22	33.2	18258	10
