时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:8:53:340	HC-06(556C659059FE)	-0.009	0.000	1.001	-0.244	0.000	16.541	-0.23	0.14	24.93	33.5	18258	30
2024-10-9 17:8:53:340	HC-06(556C659059FE)	0.008	-0.004	0.996	0.061	0.244	16.113	-0.23	0.14	25.10	33.5	18258	30
2024-10-9 17:8:53:366	HC-06(556C659059FE)	-0.001	0.002	1.003	0.488	0.122	17.456	-0.22	0.15	25.29	33.6	18258	30
2024-10-9 17:8:53:367	HC-06(556C659059FE)	-0.014	-0.005	0.998	0.366	0.366	18.066	-0.23	0.15	25.48	33.5	18258	30
2024-10-9 17:8:53:368	HC-06(556C659059FE)	0.000	0.002	0.994	0.122	0.122	17.212	-0.23	0.15	25.66	33.5	18258	30
2024-10-9 17:8:53:396	HC-06(556C659059FE)	0.026	-0.008	0.993	0.610	0.000	17.029	-0.23	0.15	25.84	33.6	18258	30
2024-10-9 17:8:53:396	HC-06(556C659059FE)	-0.019	0.003	1.004	0.854	0.000	18.921	-0.22	0.16	26.03	33.5	18258	30
2024-10-9 17:8:53:398	HC-06(556C659059FE)	-0.027	-0.001	1.000	-0.549	0.061	19.531	-0.23	0.16	26.24	33.5	18258	30
2024-10-9 17:8:53:426	HC-06(556C659059FE)	-0.006	-0.006	0.994	-0.549	0.122	17.456	-0.23	0.16	26.43	33.6	18258	30
2024-10-9 17:8:53:427	HC-06(556C659059FE)	-0.014	0.007	1.002	-0.366	0.366	16.968	-0.22	0.16	26.61	33.4	18258	30
2024-10-9 17:8:53:428	HC-06(556C659059FE)	-0.001	0.010	0.998	0.427	0.061	17.151	-0.22	0.17	26.79	33.5	18258	30
2024-10-9 17:8:53:457	HC-06(556C659059FE)	-0.016	0.006	1.001	0.977	0.122	16.907	-0.22	0.17	26.97	33.6	18258	30
2024-10-9 17:8:53:457	HC-06(556C659059FE)	0.003	0.006	0.997	-0.122	0.000	17.395	-0.22	0.18	27.15	33.6	18258	30
2024-10-9 17:8:53:458	HC-06(556C659059FE)	0.005	-0.002	1.004	0.305	0.244	17.273	-0.22	0.18	27.33	33.6	18258	30
2024-10-9 17:8:53:487	HC-06(556C659059FE)	-0.010	0.001	1.003	0.244	0.000	17.700	-0.22	0.18	27.52	33.6	18258	30
2024-10-9 17:8:53:487	HC-06(556C659059FE)	-0.019	0.003	1.003	0.183	0.122	16.663	-0.22	0.18	27.70	33.6	18258	30
2024-10-9 17:8:53:490	HC-06(556C659059FE)	-0.020	0.003	1.001	-0.183	0.000	15.320	-0.22	0.19	27.86	33.5	18258	30
2024-10-9 17:8:53:517	HC-06(556C659059FE)	0.044	0.005	1.000	0.183	0.610	14.954	-0.21	0.19	28.02	33.7	18258	30
2024-10-9 17:8:53:517	HC-06(556C659059FE)	0.016	-0.008	1.004	-0.183	0.488	16.968	-0.22	0.20	28.19	33.4	18258	30
2024-10-9 17:8:53:547	HC-06(556C659059FE)	-0.021	0.003	1.000	0.061	0.488	18.555	-0.22	0.20	28.38	33.5	18258	30
2024-10-9 17:8:53:576	HC-06(556C659059FE)	0.018	-0.006	0.996	0.122	0.488	18.860	-0.22	0.21	28.58	33.6	18258	30
2024-10-9 17:8:53:577	HC-06(556C659059FE)	-0.008	-0.008	0.997	0.488	-0.061	18.860	-0.22	0.21	28.78	33.6	18258	30
2024-10-9 17:8:53:578	HC-06(556C659059FE)	-0.012	0.005	1.009	0.000	0.427	19.958	-0.22	0.21	28.98	33.6	18258	30
2024-10-9 17:8:53:580	HC-06(556C659059FE)	-0.007	0.004	1.000	0.183	0.000	19.104	-0.22	0.21	29.19	33.7	18258	30
2024-10-9 17:8:53:581	HC-06(556C659059FE)	-0.001	0.002	1.002	0.061	0.000	18.433	-0.22	0.21	29.38	33.5	18258	30
2024-10-9 17:8:53:606	HC-06(556C659059FE)	-0.008	-0.007	0.999	0.000	0.305	18.066	-0.22	0.22	29.57	33.6	18258	30
2024-10-9 17:8:53:607	HC-06(556C659059FE)	-0.002	0.001	1.001	-0.061	0.549	17.700	-0.22	0.23	29.76	33.5	18258	30
2024-10-9 17:8:53:608	HC-06(556C659059FE)	-0.031	-0.004	0.997	-0.061	0.427	18.005	-0.22	0.23	29.94	33.5	18258	30
2024-10-9 17:8:53:610	HC-06(556C659059FE)	-0.017	-0.002	0.997	-0.244	0.244	17.578	-0.22	0.23	30.13	33.4	18258	30
2024-10-9 17:8:53:638	HC-06(556C659059FE)	0.012	-0.008	0.997	0.061	0.061	15.930	-0.21	0.24	30.30	33.7	18258	30
2024-10-9 17:8:53:639	HC-06(556C659059FE)	0.004	0.001	1.006	0.305	0.183	16.541	-0.21	0.24	30.47	33.6	18258	30
2024-10-9 17:8:53:640	HC-06(556C659059FE)	-0.011	0.000	1.000	-0.122	0.000	17.090	-0.21	0.24	30.65	33.5	18258	30
2024-10-9 17:8:53:667	HC-06(556C659059FE)	-0.014	0.003	0.999	0.000	-0.183	16.235	-0.21	0.24	30.82	33.6	18258	30
2024-10-9 17:8:53:669	HC-06(556C659059FE)	0.003	0.009	1.007	0.244	0.183	15.930	-0.21	0.24	30.99	33.6	18258	30
2024-10-9 17:8:53:670	HC-06(556C659059FE)	0.012	0.003	1.005	0.000	0.061	16.113	-0.21	0.24	31.16	33.5	18258	30
2024-10-9 17:8:53:697	HC-06(556C659059FE)	0.006	0.004	1.004	0.000	0.183	16.724	-0.21	0.25	31.33	33.6	18258	30
2024-10-9 17:8:53:698	HC-06(556C659059FE)	-0.001	-0.003	0.999	0.000	0.000	17.273	-0.21	0.25	31.51	33.5	18258	30
2024-10-9 17:8:53:699	HC-06(556C659059FE)	-0.011	-0.003	1.002	0.183	-0.305	17.517	-0.21	0.24	31.70	33.5	18258	30
2024-10-9 17:8:53:727	HC-06(556C659059FE)	-0.017	0.000	1.002	0.244	-0.122	18.005	-0.21	0.24	31.88	33.6	18258	30
2024-10-9 17:8:53:728	HC-06(556C659059FE)	0.016	0.005	1.004	0.427	0.061	17.517	-0.21	0.24	32.07	33.7	18258	30
2024-10-9 17:8:53:729	HC-06(556C659059FE)	0.015	-0.005	0.996	0.305	0.183	17.761	-0.21	0.25	32.25	33.5	18258	30
2024-10-9 17:8:53:757	HC-06(556C659059FE)	-0.022	0.000	1.011	-0.244	0.488	19.592	-0.21	0.25	32.45	33.5	18258	30
2024-10-9 17:8:53:758	HC-06(556C659059FE)	-0.013	-0.007	1.000	0.305	0.244	18.738	-0.21	0.25	32.65	33.7	18258	30
2024-10-9 17:8:53:759	HC-06(556C659059FE)	-0.003	0.008	1.006	-0.305	0.854	19.104	-0.21	0.26	32.85	33.6	18258	30
2024-10-9 17:8:53:785	HC-06(556C659059FE)	-0.012	-0.012	0.999	-0.549	0.610	18.433	-0.21	0.26	33.04	33.7	18258	30
2024-10-9 17:8:53:786	HC-06(556C659059FE)	0.004	-0.001	1.000	0.061	0.732	17.151	-0.21	0.27	33.22	33.6	18258	30
2024-10-9 17:8:53:786	HC-06(556C659059FE)	0.004	-0.005	0.999	-0.061	0.610	17.822	-0.21	0.28	33.41	33.5	18258	30
2024-10-9 17:8:53:817	HC-06(556C659059FE)	-0.009	0.002	1.001	0.122	0.305	17.761	-0.21	0.28	33.60	33.5	18258	30
2024-10-9 17:8:53:819	HC-06(556C659059FE)	-0.029	-0.000	0.999	-0.183	0.061	18.127	-0.21	0.29	33.78	33.5	18258	30
2024-10-9 17:8:53:845	HC-06(556C659059FE)	-0.012	-0.001	1.005	0.122	0.183	16.968	-0.21	0.29	33.96	33.5	18258	30
2024-10-9 17:8:53:845	HC-06(556C659059FE)	0.017	0.001	1.001	0.122	0.305	16.479	-0.21	0.29	34.13	33.5	18258	30
2024-10-9 17:8:53:845	HC-06(556C659059FE)	0.006	-0.001	1.000	0.427	0.549	17.029	-0.21	0.30	34.31	33.6	18258	30
2024-10-9 17:8:53:847	HC-06(556C659059FE)	-0.011	-0.005	0.995	-0.061	0.000	17.334	-0.21	0.30	34.49	33.6	18258	30
2024-10-9 17:8:53:877	HC-06(556C659059FE)	-0.028	-0.003	1.000	0.183	-0.122	17.395	-0.20	0.30	34.67	33.6	18258	30
2024-10-9 17:8:53:878	HC-06(556C659059FE)	-0.000	0.001	1.001	0.427	0.122	17.151	-0.20	0.30	34.85	33.6	18258	30
2024-10-9 17:8:53:878	HC-06(556C659059FE)	0.004	0.002	1.004	0.183	0.427	17.090	-0.20	0.30	35.03	33.6	18258	30
2024-10-9 17:8:53:908	HC-06(556C659059FE)	0.013	-0.007	0.999	-0.183	0.305	17.212	-0.20	0.31	35.21	33.5	18258	30
2024-10-9 17:8:53:909	HC-06(556C659059FE)	0.010	0.002	1.006	0.000	0.244	18.005	-0.20	0.31	35.39	33.7	18258	30
2024-10-9 17:8:53:910	HC-06(556C659059FE)	-0.019	0.000	1.005	0.000	0.488	19.653	-0.20	0.31	35.60	33.6	18258	30
2024-10-9 17:8:53:940	HC-06(556C659059FE)	-0.026	-0.002	0.998	0.183	0.000	18.188	-0.21	0.32	35.79	33.6	18258	30
2024-10-9 17:8:53:941	HC-06(556C659059FE)	-0.004	0.003	1.001	-0.366	0.000	17.273	-0.21	0.32	35.97	33.7	18258	30
2024-10-9 17:8:53:941	HC-06(556C659059FE)	-0.002	-0.008	0.995	0.183	0.183	16.602	-0.20	0.32	36.15	33.5	18258	30
2024-10-9 17:8:53:968	HC-06(556C659059FE)	0.001	-0.005	1.000	-0.061	0.305	17.273	-0.20	0.32	36.32	33.6	18258	30
2024-10-9 17:8:53:978	HC-06(556C659059FE)	-0.015	0.010	1.006	0.000	0.488	17.944	-0.20	0.33	36.51	33.5	18258	30
2024-10-9 17:8:53:978	HC-06(556C659059FE)	-0.025	0.002	1.001	-0.366	0.122	17.273	-0.20	0.33	36.69	33.4	18258	30
2024-10-9 17:8:53:997	HC-06(556C659059FE)	-0.020	-0.000	1.002	0.000	0.061	15.747	-0.20	0.33	36.85	33.6	18258	30
2024-10-9 17:8:53:998	HC-06(556C659059FE)	0.029	0.000	1.005	0.061	0.977	16.357	-0.20	0.34	37.02	33.5	18258	30
2024-10-9 17:8:53:999	HC-06(556C659059FE)	0.025	0.001	0.993	0.122	1.404	17.456	-0.20	0.35	37.20	33.5	18258	30
2024-10-9 17:8:54:27	HC-06(556C659059FE)	0.003	-0.021	0.987	-0.183	0.549	18.250	-0.20	0.36	37.39	33.5	18258	30
2024-10-9 17:8:54:28	HC-06(556C659059FE)	0.008	-0.001	1.007	0.000	0.610	18.860	-0.20	0.37	37.58	33.5	18258	30
2024-10-9 17:8:54:29	HC-06(556C659059FE)	-0.003	-0.003	1.004	0.061	0.244	19.653	-0.20	0.37	37.78	33.5	18258	30
2024-10-9 17:8:54:56	HC-06(556C659059FE)	-0.040	0.000	1.002	0.061	0.366	20.081	-0.20	0.37	37.99	33.4	18258	30
